,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
5254,20-May,서귀포시,성산읍,숙박,21,1055000,15313496.26,2021-07-30
5283,20-May,서귀포시,서홍동,숙박,93,7000751,7219740.882,2021-07-30
5350,20-May,서귀포시,영천동,숙박,1295,163739530,5796950.667,2021-07-30
5367,20-May,서귀포시,송산동,숙박,1302,165679530,21343622.25,2021-07-30
5390,20-May,서귀포시,안덕면,숙박,1,3160500,18648293.84,2021-07-30
5410,20-May,서귀포시,대륜동,숙박,19,4321680,15294277.34,2021-07-30
5503,20-May,서귀포시,대천동,숙박,432,16796342,9192377.365,2021-07-30
5508,20-May,서귀포시,대정읍,숙박,1,400000,19233276.51,2021-07-30
5557,20-May,제주시,건입동,숙박,24,2185000,9721165.924,2021-07-30
5623,20-May,제주시,노형동,숙박,94,7282000,55051247.53,2021-07-30
5656,20-May,제주시,구좌읍,숙박,2,70000,15075239.15,2021-07-30
5701,20-May,서귀포시,정방동,숙박,7,1940000,3788125.362,2021-07-30
5707,20-May,서귀포시,중문동,숙박,353,70656653,10862215.45,2021-07-30
5728,20-May,서귀포시,예래동,숙박,4184,1711176350,6372830.547,2021-07-30
5767,20-May,서귀포시,천지동,숙박,100,8940751,8969465.681,2021-07-30
5827,20-May,서귀포시,중앙동,숙박,7,1940000,4527010.194,2021-07-30
5842,20-Jun,제주시,연동,숙박,2511,744087456,46947709.81,2021-07-30
5882,20-Jun,제주시,애월읍,숙박,1,570000,39710925.11,2021-07-30
5919,20-Jun,제주시,용담1동,숙박,13,1990000,7357924.152,2021-07-30
5968,20-Jun,제주시,외도동,숙박,416,32635729,11264967.68,2021-07-30
5987,20-Jun,제주시,삼도1동,숙박,178,24699608,10863305.35,2021-07-30
6047,20-Jun,제주시,삼도2동,숙박,1274,356720616,7072196.911,2021-07-30
6134,20-Jun,제주시,조천읍,숙박,158,30549186,22749257.92,2021-07-30
6278,20-Jun,제주시,이도1동,숙박,446,100641557,12293891.95,2021-07-30
6376,20-Jun,제주시,일도1동,숙박,20,1252000,2822062.576,2021-07-30
6423,20-Jun,서귀포시,성산읍,숙박,17,840000,14808401.28,2021-07-30
6470,20-Jun,서귀포시,서홍동,숙박,113,12382899,6741948.074,2021-07-30
6521,20-Jun,서귀포시,영천동,숙박,1298,84617275,5809891.945,2021-07-30
6543,20-Jun,서귀포시,송산동,숙박,1310,86707275,20948688.98,2021-07-30
6583,20-Jun,서귀포시,대륜동,숙박,12,3670520,15152603.23,2021-07-30
6672,20-Jun,서귀포시,대천동,숙박,396,27493184,8995485.036,2021-07-30
6742,20-Jun,제주시,건입동,숙박,19,810000,9710553.377,2021-07-30
6801,20-Jun,제주시,노형동,숙박,115,10370000,53894377.66,2021-07-30
6872,20-Jun,서귀포시,정방동,숙박,12,2090000,3674632.056,2021-07-30
6899,20-Jun,서귀포시,예래동,숙박,4520,2091597156,6516917.864,2021-07-30
6930,20-Jun,서귀포시,중문동,숙박,419,67498170,10934724.02,2021-07-30
6951,20-Jun,서귀포시,천지동,숙박,125,14472899,8424160.588,2021-07-30
7003,20-Jun,서귀포시,중앙동,숙박,12,2090000,4642405.891,2021-07-30
7014,20-Jul,제주시,연동,숙박,2819,1002985663,49268247.81,2021-07-30
7048,20-Jul,제주시,애월읍,숙박,5,130000,42137306.63,2021-07-30
7095,20-Jul,제주시,용담1동,숙박,22,2793720,7575560.87,2021-07-30
7141,20-Jul,제주시,외도동,숙박,562,74512973,12044886.7,2021-07-30
7160,20-Jul,제주시,삼도1동,숙박,304,47330806,11544163.97,2021-07-30
7186,20-Jul,제주시,삼도2동,숙박,1670,361821111,7512032.086,2021-07-30
7315,20-Jul,제주시,조천읍,숙박,113,21314236,24636330.11,2021-07-30
7465,20-Jul,제주시,이도1동,숙박,584,103539149,12764387.46,2021-07-30
7553,20-Jul,제주시,일도1동,숙박,18,1081750,2993611.652,2021-07-30
7605,20-Jul,서귀포시,성산읍,숙박,20,795000,16439227.7,2021-07-30
7641,20-Jul,서귀포시,서홍동,숙박,141,16353106,6922233.611,2021-07-30
7702,20-Jul,서귀포시,영천동,숙박,1511,138919886,6028954.628,2021-07-30
7719,20-Jul,서귀포시,송산동,숙박,1518,140379886,22274058.38,2021-07-30
7742,20-Jul,서귀포시,안덕면,숙박,1,5440000,18807377.36,2021-07-30
7763,20-Jul,서귀포시,대륜동,숙박,18,9463234,16285826.4,2021-07-30
7856,20-Jul,서귀포시,대천동,숙박,467,31373497,9822303.938,2021-07-30
7861,20-Jul,서귀포시,대정읍,숙박,1,400000,18599692.38,2021-07-30
7926,20-Jul,제주시,건입동,숙박,15,520000,10305450.48,2021-07-30
7976,20-Jul,제주시,노형동,숙박,117,10291000,56206103.47,2021-07-30
8008,20-Jul,제주시,구좌읍,숙박,4,687000,16616148.13,2021-07-30
8056,20-Jul,서귀포시,정방동,숙박,7,1460000,4110500.71,2021-07-30
8062,20-Jul,서귀포시,중문동,숙박,386,92636126,11638480.23,2021-07-30
8085,20-Jul,서귀포시,예래동,숙박,4680,2424415457,7319197.088,2021-07-30
8134,20-Jul,서귀포시,천지동,숙박,148,17813106,8838553.596,2021-07-30
8184,20-Jul,서귀포시,중앙동,숙박,7,1460000,5075067.278,2021-07-30
8196,20-Aug,제주시,연동,숙박,3510,995799517,49842253.09,2021-07-28
8234,20-Aug,제주시,애월읍,숙박,26,2777720,45314311.06,2021-07-28
8269,20-Aug,제주시,용담1동,숙박,39,16705160,7528622.221,2021-07-28
8328,20-Aug,제주시,외도동,숙박,561,67166929,12453749.55,2021-07-28
8346,20-Aug,제주시,삼도1동,숙박,351,75448771,11434412.17,2021-07-28
8355,20-Aug,제주시,삼도2동,숙박,2759,555906682,7654167.254,2021-07-28
8493,20-Aug,제주시,조천읍,숙박,126,21451585,26688211.67,2021-07-28
8634,20-Aug,제주시,이도1동,숙박,766,158875283,12684075.93,2021-07-28
8739,20-Aug,제주시,일도1동,숙박,18,1254100,2969840.928,2021-07-28
8795,20-Aug,서귀포시,성산읍,숙박,32,1475000,18446177.94,2021-07-28
