,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
3644,20-Apr,서귀포시,서홍동,문화/레져,14,5445000,6883187.111,2020-12-15
3672,20-Apr,서귀포시,성산읍,문화/레져,189,9716200,13918720.38,2020-12-15
3705,20-Apr,서귀포시,송산동,문화/레져,4287,483776940,20507990.19,2020-12-15
3736,20-Apr,서귀포시,안덕면,문화/레져,173,10125500,16791897.87,2020-12-15
3762,20-Apr,서귀포시,영천동,문화/레져,90,20784000,5479200.568,2020-12-15
3782,20-Apr,서귀포시,예래동,문화/레져,485,40511520,5435882.402,2020-12-15
3812,20-Apr,서귀포시,정방동,문화/레져,3160,394892640,3429709.043,2020-12-15
3842,20-Apr,서귀포시,중문동,문화/레져,506,20962700,10095422.32,2020-12-15
3871,20-Apr,서귀포시,중앙동,문화/레져,3160,394892640,4530584.305,2020-12-15
3900,20-Apr,서귀포시,천지동,문화/레져,3174,400337640,8424160.643,2020-12-15
3928,20-Apr,서귀포시,표선면,문화/레져,625,16548650,10558778.26,2020-12-15
3976,20-Apr,제주시,건입동,문화/레져,701,37288100,9018817.09,2020-12-15
4003,20-Apr,제주시,구좌읍,문화/레져,160,3345100,13915227.09,2020-12-15
4033,20-Apr,제주시,노형동,문화/레져,938,156273910,53504878.81,2020-12-15
4061,20-Apr,제주시,도두동,문화/레져,585,16498400,2726818.563,2020-12-15
4104,20-Apr,제주시,삼도1동,문화/레져,127,31276100,11165907.64,2020-12-15
4132,20-Apr,제주시,삼도2동,문화/레져,282,38990900,6603114.994,2020-12-15
4158,20-Apr,제주시,삼양동,문화/레져,921,39736796,19544627.64,2020-12-15
4185,20-Apr,제주시,아라동,문화/레져,504,68447000,37821964.84,2020-12-15
4215,20-Apr,제주시,애월읍,문화/레져,900,23113300,38871409.8,2020-12-15
4248,20-Apr,제주시,연동,문화/레져,3705,534241830,46699815.66,2020-12-15
4279,20-Apr,제주시,오라동,문화/레져,574,89475900,18199235.81,2020-12-15
4306,20-Apr,제주시,외도동,문화/레져,354,10524300,11925704.2,2020-12-15
4332,20-Apr,제주시,용담1동,문화/레져,114,7944500,7266690.126,2020-12-15
4361,20-Apr,제주시,용담2동,문화/레져,293,14052200,13587672.6,2020-12-15
4385,20-Apr,제주시,우도면,문화/레져,337,13194000,1417411.977,2020-12-15
4409,20-Apr,제주시,이도1동,문화/레져,393,46974490,12102576.01,2020-12-15
4437,20-Apr,제주시,이도2동,문화/레져,1499,212036400,53666091.66,2020-12-15
4463,20-Apr,제주시,이호동,문화/레져,168,18152529,4449417.177,2020-12-15
4487,20-Apr,제주시,일도1동,문화/레져,7866,985995600,2769274.993,2020-12-15
4515,20-Apr,제주시,일도2동,문화/레져,922,83533100,27106106.53,2020-12-15
4544,20-Apr,제주시,조천읍,문화/레져,524,21221200,21653151.8,2020-12-15
4568,20-Apr,제주시,추자면,문화/레져,25,1959500,2104551.469,2020-12-15
4591,20-Apr,제주시,한경면,문화/레져,159,4063000,7333588.808,2020-12-15
4618,20-Apr,제주시,한림읍,문화/레져,377,14588000,20780761.61,2020-12-15
4645,20-Apr,제주시,화북동,문화/레져,329,26085330,24900108.87,2020-12-15
4676,20-May,제주시,오라동,문화/레져,853,124253060,18635201.6,2021-07-30
4723,20-May,제주시,연동,문화/레져,5610,770466580,48177714.72,2021-07-30
4757,20-May,제주시,용담2동,문화/레져,374,21313800,15603485.11,2021-07-30
4783,20-May,제주시,외도동,문화/레져,592,17536900,12161795.24,2021-07-30
4802,20-May,제주시,용담1동,문화/레져,160,11493500,7544336.781,2021-07-30
4823,20-May,제주시,삼도2동,문화/레져,433,54678200,7115250.094,2021-07-30
4867,20-May,제주시,삼도1동,문화/레져,166,27196500,11482713.49,2021-07-30
4902,20-May,제주시,애월읍,문화/레져,1310,39392900,40776213.36,2021-07-30
4923,20-May,제주시,삼양동,문화/레져,1178,48180080,20059706.29,2021-07-30
4949,20-May,제주시,아라동,문화/레져,747,87492190,39050877.03,2021-07-30
4953,20-May,제주시,추자면,문화/레져,41,2320000,1939048.215,2021-07-30
